STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,AGE,,SEX,,UNIT_MEASURE,,METHODOLOGY,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1961,,110.2,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1962,,109.1,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1963,,110.7,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1964,,114.2,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1965,,113,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1966,,114.5,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1967,,116.1,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1968,,117.6,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1969,,118,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1970,,119.7,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1971,,119.8,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1972,,121.8,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1973,,116.7,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1974,,118.4,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1975,,117.8,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1976,,126.1,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1977,,123.4,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1978,,127,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1979,,128.5,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1980,,128.2,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1981,,132.5,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1982,,131,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1983,,134.9,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1984,,137.2,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1985,,143.1,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1986,,138.2,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1987,,140.6,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1988,,141.6,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1989,,137.7,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1990,,139.1,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1991,,140.8,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1992,,142.2,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1993,,143.4,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1994,,145.3,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1995,,140.3,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1996,,137.4,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1997,,139.7,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1998,,142.8,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,1999,,146.5,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2000,,154.4,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2001,,154.8,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2002,,159.9,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2003,,158.6,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2004,,161.7,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2005,,165,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2006,,162.5,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2007,,163.2,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2008,,161.4,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2009,,159.3,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2010,,161.4,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2011,,162.8,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2012,,163.4,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2013,,162.4,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2014,,162.2,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2015,,163.2,,A,,0,,,
